geoid, county, totalpopulation, totalpopulationme, totallaborforce, totallaborforcepme, employed, employedpme, unemployed, unemployedpme, medianincome, medianincomeme, meanincome, meanincomeme, medianmaleincome, medianmaleincomeme, medianfemaleincome, medianfemaleincomeme, insured, insuredpme, uninsured, uninsuredpme, belowpovertyline, belowpovertylinepme,Agricultureforestryfishingandhuntingandmining,Construction,Manufacturing,Wholesaletrade,Retailtrade,Transportationandwarehousingandutilities,Information,Financeandinsuranceandrealestateandrentalandleasing,ScientificManagementAdministrativeWastemanagementservices,Educationalservicesandhealthcareandsocialassistance, Artsentertainmentandrecreationandaccommodationandfoodservices,Otherservicesexceptpublicadministration,Publicadministration
0500000US48039,Brazoria County,283483,1437,176601,1.6,169481,1.7,7120,0.6,73623,4248,93145,4712,61357,1495,47964,6489,298656,2,59194,2,7.1,2,3537,19505,21579,3581,15510,10330,1797,7977,18674,39471,12534,7729,7257
0500000US48085,Collin County,774988,2068,546499,0.9,527036,0.9,19463,0.3,96051,3181,123475,3301,76698,2554,52271,1634,889148,1,113306,1,4.5,0.8,3997,28251,43262,13105,58301,18643,19134,60993,91094,108889,42378,24996,13993
0500000US48113,Dallas County,2022625,3139,1392771,0.6,1333559,0.6,59212,0.2,59839,1022,88220,1467,46413,723,40700,573,2052542,0.7,567301,0.7,10.8,0.7,9563,140158,111641,39564,141667,94411,29146,110585,193726,229481,125399,76004,32214
0500000US48167,Galveston County,265834,1141,172769,1.7,160521,1.7,12248,1,73840,4662,97662,4823,62387,5487,50219,4302,280473,1.7,51553,1.7,9.3,2.3,3933,13791,15904,4173,16199,8662,960,9517,15791,41378,14508,8889,6816
0500000US48491,Williamson County,438217,1263,303504,1.2,288185,1.3,15319,0.7,87454,2839,104029,3018,65136,4916,49162,2040,502461,1.2,61622,1.2,4.2,1,1705,20305,27524,5961,29083,9690,7349,22334,47730,63125,24350,13851,15178
0500000US48135,Ector County,117708,987,79507,2.1,75990,2.1,3517,1.1,64165,6882,88400,6950,56701,7884,36031,3145,129341,3.2,31709,3.2,8.7,2.9,11224,5693,6210,3126,9947,7184,308,3699,5562,9441,6415,4644,2537
0500000US48183,Gregg County,95713,715,59273,2.9,56452,3.2,2821,1.3,51361,4420,74012,6675,46120,6169,36077,4709,99453,2.7,22282,2.7,10.6,3.4,3044,3328,5205,1499,7728,3119,730,3321,4706,12729,5898,2980,2165
0500000US48251,Johnson County,132376,717,81047,2.1,78119,2.1,2928,0.7,62390,4913,80258,4515,49857,2575,38454,4215,141093,2.4,27811,2.4,8.4,2.7,1497,6977,7854,1814,16646,4661,478,3330,6899,14776,4810,4730,3647
0500000US48309,McLennan County,199014,900,119906,1.7,115561,1.7,4345,0.5,48713,3338,64493,2647,44246,4776,32868,3019,211995,2.2,38399,2.2,14.8,2.4,1449,9879,15914,3372,13440,5641,1294,5881,7687,28115,12236,5834,4819
0500000US48347,Nacogdoches County,51893,525,28264,4.3,26584,4.6,1680,1.3,46459,3308,61279,5538,47542,5934,36227,3447,54839,3.2,10085,3.2,12.7,4.6,1154,2326,3583,541,2820,970,28,940,1414,8148,2697,906,1057
0500000US48397,Rockwall County,76544,867,52934,2.7,50140,2.8,2794,1.5,100595,9005,112543,7210,67795,12465,48112,5045,87283,3.7,12460,3.7,5.6,3,806,4463,5365,577,3906,2037,1602,4154,6210,12278,4556,1598,2588
0500000US48409,San Patricio County,51109,431,29540,3.2,27963,3.3,1577,1.5,55018,6763,69669,5507,47200,6470,35566,5181,57943,2.7,8179,2.7,14.7,4.5,1760,2410,2626,360,2799,2389,330,1133,2138,7010,2609,830,1569
0500000US48423,Smith County,179671,769,110572,2.1,104522,2.2,6050,1,58226,4793,80432,6535,45394,8030,34839,2966,184696,2.3,43061,2.3,12,2.7,3752,8777,6056,2675,12525,5799,1581,5166,9672,29990,8581,6908,3040
0500000US48439,Tarrant County,1600241,2772,1095762,0.7,1044561,0.7,51201,0.3,66063,1349,91655,2058,51351,721,41576,760,1712475,0.7,356191,0.7,9.3,0.8,10280,83887,100681,36700,127043,92890,15989,84032,110905,197338,101400,51707,31709
0500000US48469,Victoria County,70496,850,42457,2.6,39664,2.7,2793,1.3,50210,4866,70507,5446,49028,7227,32438,4023,77669,2.8,13397,2.8,13,3.7,2551,2388,4334,1266,4804,1226,437,1862,2744,10272,3996,2164,1620
0500000US48021,Bastrop County,67002,626,40384,3.5,38109,3.8,2275,1.4,69067,13636,82572,8336,50648,3569,40870,7346,70861,3.5,13979,3.5,12.6,5.5,1075,4251,4769,572,3908,1955,1032,2587,3154,6817,3422,1707,2860
0500000US48037,Bowie County,73446,729,38852,3.5,36966,3.6,1886,1.3,47134,4912,67781,6860,47528,3445,36619,5411,78405,2.2,10180,2.2,16.8,4.5,985,1778,4181,460,4977,2448,364,2535,2859,8752,2758,1556,3313
0500000US48041,Brazos County,185017,1155,107861,2.1,103742,2,4119,0.7,50110,2278,71726,2917,47673,4200,40983,2225,194956,1.8,26788,1.8,11.8,2.8,3149,7129,3922,1328,11105,3163,1302,5026,10619,40550,8861,5084,2504
0500000US48141,El Paso County,639198,1513,384524,1.2,360160,1.3,24364,0.5,43958,2037,61669,2298,38085,1971,31630,1260,638367,1.4,181321,1.4,17.8,1.6,4967,22526,19981,9768,43465,23170,7038,16517,37990,95130,36756,15992,26860
0500000US48203,Harrison County,52209,803,30641,4.1,29157,4.2,1484,1.4,50561,7915,68916,8272,41993,10045,31331,4127,56456,3.6,9532,3.6,7.6,4.3,1776,3092,2813,340,4014,1056,0,1510,2268,6254,2656,2280,1098
0500000US48209,Hays County,177260,1818,120140,2.4,112641,2.7,7499,1.2,65943,6224,87927,5914,55750,5809,35761,3216,184671,2.3,36126,2.3,7.7,2.9,694,11763,8035,2172,15448,4667,1794,8168,12350,25236,11194,4567,6553
0500000US48355,Nueces County,283111,955,175061,1.6,164776,1.5,10285,0.8,54560,4560,74721,3892,47025,2563,36096,1901,290949,1.6,66787,1.6,13.6,1.9,4830,20679,8821,3766,17646,7921,3060,9491,13623,36494,19360,9131,9954
0500000US48027,Bell County,267437,1311,159805,1.5,148030,1.7,11775,0.7,54495,2274,69088,2944,44389,3485,36985,2659,294381,1.3,43294,1.3,10.2,2,1353,12663,7288,3362,16128,8837,1605,6709,14109,37794,15076,8154,14952
0500000US48061,Cameron County,310656,1178,171778,1.6,163171,1.6,8607,0.6,38378,2327,53325,2519,34130,2348,26404,1680,299508,1.9,122716,1.9,25.5,2.4,4190,12176,8010,3000,18748,7274,1284,7633,12913,52571,16693,9420,9259
0500000US48139,Ellis County,137246,885,92428,1.8,89419,1.9,3009,0.6,77794,3774,99650,13956,53249,4068,46809,2115,149901,2.4,28387,2.4,6.4,2.2,1670,10131,11446,2780,10112,6449,1029,6937,8797,16711,5572,3945,3840
0500000US48201,Harris County,3575799,4088,2405234,0.5,2269657,0.5,135577,0.3,60232,813,88212,1245,48176,1360,41283,693,3704637,0.5,971165,0.5,13.5,0.6,66139,248492,206157,69983,238008,158410,29426,128787,291125,438705,215334,125483,53608
0500000US48245,Jefferson County,199452,914,108866,1.9,104575,1.9,4291,0.5,47177,3730,69578,3957,50455,2576,35939,1652,194733,1.6,46642,1.6,14.5,2.5,2112,14167,12048,2210,14009,5630,785,2871,9196,24004,9570,4415,3558
0500000US48291,Liberty County,66358,782,33591,4.8,32179,4.8,1412,1.2,51955,4132,64146,5516,48918,7011,34080,9683,63160,4.1,14528,4.1,7.3,3.1,858,5458,3034,638,3564,3022,288,1028,2846,5772,2069,2033,1569
